City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Erzin,TR,2022-06-11 18:54:27,36.9559,36.2,73.17,71,0,0.47
211,Marau,BR,2022-06-11 18:49:50,-28.4492,-52.2,48.15,65,0,7.87
212,Nuuk,GL,2022-06-11 18:50:23,64.1835,-51.7216,50.88,62,85,8.99
213,San Blas,MX,2022-06-11 18:54:27,21.5167,-105.2667,88.81,57,5,11.23
214,Calabozo,VE,2022-06-11 18:54:32,8.9242,-67.4293,88.03,55,100,7.14
215,Vrangel,RU,2022-06-11 18:54:32,42.7297,133.0839,53.11,94,38,2.28
216,Khakhea,BW,2022-06-11 18:54:32,-24.6895,23.494,55.56,33,0,7.61
217,Rawson,AR,2022-06-11 18:54:33,-43.3002,-65.1023,58.32,43,100,10.4
218,Vila Franca Do Campo,PT,2022-06-11 18:54:06,37.7167,-25.4333,68.2,93,100,7.65
219,Klyuchi,RU,2022-06-11 18:54:33,52.2667,79.1667,66.02,53,33,9.13
220,Cabo San Lucas,MX,2022-06-11 18:51:57,22.8909,-109.9124,86.61,68,7,11.77
221,Dabola,GN,2022-06-11 18:54:34,10.75,-11.1167,81.03,69,100,2.57
222,Yellowknife,CA,2022-06-11 18:54:34,62.456,-114.3525,66.72,59,40,18.41
223,San Patricio,US,2022-06-11 18:54:34,28.017,-97.5169,98.08,29,2,15.61
224,Ilebo,CD,2022-06-11 18:54:35,-4.3167,20.5833,76.03,48,0,0.85
225,Griffith,US,2022-06-11 18:54:35,41.5284,-87.4237,75.22,67,75,10.36
226,Lasa,IT,2022-06-11 18:55:35,46.6166,10.7002,63.25,67,1,5.99
227,Camana,PE,2022-06-11 18:55:36,-16.6228,-72.7111,66.27,71,1,9.26
228,Saskylakh,RU,2022-06-11 18:52:12,71.9167,114.0833,50.59,59,5,9.44
229,Rennes,FR,2022-06-11 18:53:39,48.1667,-1.6667,68.04,56,0,10.36
230,Nishihara,JP,2022-06-11 18:55:36,26.1842,127.7558,76.28,92,100,8.05
231,Carbondale,US,2022-06-11 18:55:36,37.7273,-89.2168,85.05,64,75,12.66
232,Ponta Do Sol,PT,2022-06-11 18:55:37,32.6667,-17.1,75.7,79,0,1.16
233,El Alto,PE,2022-06-11 18:55:37,-4.2714,-81.2147,69.46,66,28,21.39
234,Vedeno,RU,2022-06-11 18:55:37,42.9703,46.095,60.51,61,35,5.73
235,Williston,US,2022-06-11 18:55:38,48.147,-103.618,81.03,36,100,1.99
236,Yachihuacaltepec,MX,2022-06-11 18:55:38,19.3242,-99.6794,73.13,32,6,5.5
237,Saint-Denis,FR,2022-06-11 18:55:38,48.9167,2.3333,77.56,48,0,6.91
238,Airai,TL,2022-06-11 18:55:39,-8.9266,125.4092,56.23,87,99,3.74
239,Lyubech,UA,2022-06-11 18:55:39,51.7026,30.6569,73.06,68,10,3.94
240,Sobolevo,RU,2022-06-11 18:55:40,54.4299,31.8996,62.24,93,16,5.35
241,Biak,ID,2022-06-11 18:55:40,-0.9131,122.8766,76.3,84,100,0.27
242,Fare,PF,2022-06-11 18:55:40,-16.7,-151.0167,79.74,76,41,18.23
243,Ughelli,NG,2022-06-11 18:55:41,5.4899,6.0074,73.24,97,60,2.8
244,Diamantino,BR,2022-06-11 18:55:41,-14.4086,-56.4461,69.8,70,100,9.19
245,Saint-Philippe,RE,2022-06-11 18:47:45,-21.3585,55.7679,67.59,79,49,12.53
246,Vilaka,LV,2022-06-11 18:55:41,57.1846,27.6722,61.97,84,78,4.12
247,Dniprovka,UA,2022-06-11 18:55:42,47.4295,34.618,73.02,62,5,7.92
248,Ostrovnoy,RU,2022-06-11 18:55:42,68.0531,39.5131,55.96,60,17,9.06
249,Neryungri,RU,2022-06-11 18:55:42,56.6709,124.6491,51.13,84,58,3.89
250,Ambulu,ID,2022-06-11 18:55:43,-8.345,113.6058,75.11,90,44,3.2
251,Misratah,LY,2022-06-11 18:55:43,32.3754,15.0925,73.31,75,0,15.43
252,Urla,TR,2022-06-11 18:55:43,38.3229,26.764,68.4,78,41,2.46
253,Waddan,LY,2022-06-11 18:55:44,29.1614,16.139,83.16,27,0,9.24
254,Waipawa,NZ,2022-06-11 18:55:44,-41.4122,175.5153,51.35,73,100,19.55
255,Kyzyl-Suu,KG,2022-06-11 18:55:44,42.3414,78.0056,57.31,67,100,5.73
256,Hualmay,PE,2022-06-11 18:55:45,-11.0964,-77.6139,68.52,70,15,12.17
257,Bani Walid,LY,2022-06-11 18:55:45,31.7566,13.9942,72.82,55,0,13.76
258,Okhotsk,RU,2022-06-11 18:55:45,59.3833,143.3,41.29,93,100,1.28
259,Kruisfontein,ZA,2022-06-11 18:55:46,-34.0033,24.7314,64.99,25,86,10.16
260,Iracoubo,GF,2022-06-11 18:55:46,5.4802,-53.2011,81.59,75,10,9.93
261,Severo-Kurilsk,RU,2022-06-11 18:55:47,50.6789,156.125,43.45,87,81,11.23
262,Ibra,OM,2022-06-11 18:55:47,22.6906,58.5334,85.46,61,0,11.43
263,Teacapan,MX,2022-06-11 18:55:47,22.55,-105.75,86.4,60,0,12.1
264,Hirado,JP,2022-06-11 18:55:51,33.3597,129.5531,68.4,88,82,21.32
265,Dunedin,NZ,2022-06-11 18:54:51,-45.8742,170.5036,45.81,42,100,11.99
266,Sorland,NO,2022-06-11 18:55:52,67.667,12.6934,49.86,91,87,6.78
267,Paamiut,GL,2022-06-11 18:55:54,61.994,-49.6678,41.27,78,100,2.64
268,Pittsfield,US,2022-06-11 18:55:54,42.4501,-73.2454,74.5,46,100,1.99
269,Grand Gaube,MU,2022-06-11 18:55:08,-20.0064,57.6608,73.8,78,99,5.99
270,Lozova,UA,2022-06-11 18:56:54,48.8894,36.3176,71.44,54,76,6.46
271,Evensk,RU,2022-06-11 18:56:55,61.95,159.2333,41.36,95,100,8.28
272,Shimoda,JP,2022-06-11 18:56:55,34.6667,138.95,63.1,90,100,23.11
273,Torbay,CA,2022-06-11 18:56:55,47.6666,-52.7314,72.37,53,75,20.71
274,Hay River,CA,2022-06-11 18:56:56,60.8156,-115.7999,62.56,72,75,8.05
275,Kirakira,SB,2022-06-11 18:56:56,-10.4544,161.9205,78.4,84,9,5.61
276,Aanekoski,FI,2022-06-11 18:56:56,62.6946,25.818,68.07,89,5,4.7
277,Dalvik,IS,2022-06-11 18:56:57,65.9702,-18.5286,46.33,97,100,3.89
278,Severodvinsk,RU,2022-06-11 18:56:57,64.5635,39.8302,53.71,70,13,7.63
279,Tabat,ID,2022-06-11 18:56:57,-2.635,115.2274,73.26,98,98,0.74
280,Provideniya,RU,2022-06-11 18:56:58,64.3833,-173.3,37.02,71,89,1.5
281,San Quintin,MX,2022-06-11 18:52:30,30.4833,-115.95,73.78,64,7,12.8
282,Alta Floresta,BR,2022-06-11 18:56:58,-9.8756,-56.0861,82.22,61,40,6.91
283,Las Vegas,US,2022-06-11 18:52:14,36.175,-115.1372,108.1,9,0,23.02
284,Olafsvik,IS,2022-06-11 18:56:59,64.8945,-23.7142,46.72,81,100,6.98
285,Carahue,CL,2022-06-11 18:57:00,-38.7,-73.1667,56.75,58,100,1.23
286,Kailua,US,2022-06-11 18:57:00,21.4022,-157.7394,80.65,69,75,11.5
287,Meulaboh,ID,2022-06-11 18:57:00,4.1363,96.1285,76.57,87,100,2.59
288,Aykhal,RU,2022-06-11 18:57:01,66.0,111.5,44.11,81,100,8.05
